A_1,A_2,A_3,B_1,B_2,B_3,X_1,X_2,X_3,E_g,HTL,ETL,Voc(volts) ,Jsc,Max PCE,A,B,X
MA/1,,,Pb/0.75,Sn/0.25,,I/1,,,,,,,,9.25,MA,Pb/Sn,I
MA/1,,,Pb/0.984,Sr/0.016,,I/1,,,,,,,,10.81,MA,Pb/Sn,I
MA/1,,,Pb/0.969,Sr/0.031,,I/1,,,,,,,,9.29,MA,Pb/Sr,I
MA/1,,,Pb/0.938,Sr/0.062,,I/1,,,,,,,,5.58,MA,Pb/Sr,I
MA/1,,,Pb/0.875,Sr/0.125,,I/1,,,,,,,,1.16,MA,Pb/Sr,I
MA/1,,,Pb/0.75,Sr/0.25,,I/1,,,,,,,,0.21,MA,Pb/Sr,I
MA/1,,,Pb/0.984,Zn/0.016,,I/1,,,,,,,,10.62,MA,Pb/Sr,I
MA/1,,,Pb/0.969,Zn/0.031,,I/1,,,,,,,,10.41,MA,Pb/Zn,I
MA/1,,,Pb/0.938,Zn/0.062,,I/1,,,,,,,,7.69,MA,Pb/Zn,I
MA/1,,,Pb/0.875,Zn/0.125,,I/1,,,,,,,,9.88,MA,Pb/Zn,I
MA/1,,,Pb/0.75,Zn/0.25,,I/1,,,,,,,,6.04,MA,Pb/Zn,I
MA/1,,,Sn/1,,,I/1,,,,,,0.68,16.6,5.23,MA,Pb/Zn,I
MA/1,,,Sn/1,,,I/0.667,Br/0.333,,,,,0.77,13.96,5.48,MA,Sn,I
MA/1,,,Sn/1,,,I/0.333,Br/0.667,,,,,0.82,11.73,5.73,MA,Sn,I/Br
MA/1,,,Sn/1,,,,Br/1.0,,,,,0.88,7.93,4.27,MA,Sn,I/Br
FA/1,,,Sn/1,,,I/1,,,,,,0.457,22.07,6.07,MA,Sn,Br
Cs/1,,,Ge/1,,,I/1,,,,,,0.074,5.7,0.11,FA,Sn,I
MA/1,,,Ge/1,,,I/1,,,,,,0.15,4,0.2,Cs,Ge,I
FA/1,,,Pb/1,,,I/0.6,Br/0.4,,,Spiro-OMeTAD,SnO2/PCBM,,,5.8,MA,Ge,I
FA/0.9,Cs/0.17,,Pb/1,,,I/0.6,Br/0.4,,1.7,Spiro-OMeTAD,SnO2/PCBM,,,12.1,FA,Pb,I/Br
FA/0.875,Cs/0.125,,Pb/1,,,I/0.6,Br/0.4,,,Spiro-OMeTAD,SnO2/PCBM,,,11.8,FA/Cs,Pb,I/Br
FA/0.85,Cs/0.15,,Pb/1,,,I/0.6,Br/0.4,,,Spiro-OMeTAD,SnO2/PCBM,,,13,FA/Cs,Pb,I/Br
