A_1,A_2,A_3,B_1,B_2,B_3,X_1,X_2,X_3,E_g,HTL,ETL,Voc(volts) ,Jsc,Max PCE
MA/1,,,Pb/1,,,I/3,Br/0,,,,,,,15.6
MA/1,,,Pb/1,,,I/0.97,Br/0.03,,,,,,,16.31
MA/1,,,Pb/1,,,I/0.963,Br/0.037,,,,,,,16.75
MA/1,,,Pb/1,,,I/0.953,Br/0.047,,,,,1.064,23.52,18.02
MA/1,,,Pb/1,,,I/0.933,Br/0.067,,,,,,,17.11
MA/1,,,Pb/1,,,I/0.667,Br/0.333,,,,,,,3.83
MA/1,,,Pb/1,Co/0,,I/1,,,,,,,,10.27
MA/1,,,Pb/0.984,Co/0.016,,I/1,,,,,,,,11.37
MA/1,,,Pb/0.969,Co/0.031,,I/1,,,,,,,,11.11
MA/1,,,Pb/0.938,Co/0.062,,I/1,,,,,,,,10.21
MA/1,,,Pb/0.875,Co/0.125,,I/1,,,,,,,,8.66
MA/1,,,Pb/0.75,Co/0.25,,I/1,,,,,,,,4.14
MA/1,,,Pb/0.984,Cu/0.016,,I/1,,,,,,,,10.14
MA/1,,,Pb/0.969,Cu/0.031,,I/1,,,,,,,,8.37
MA/1,,,Pb/0.938,Cu/0.062,,I/1,,,,,,,,6.57
MA/1,,,Pb/0.875,Cu/0.125,,I/1,,,,,,,,5.46
MA/1,,,Pb/0.75,Cu/0.25,,I/1,,,,,,,,8.29
MA/1,,,Pb/0.984,Fe/0.016,,I/1,,,,,,,,1.78
MA/1,,,Pb/0.969,Fe/0.031,,I/1,,,,,,,,1.75
MA/1,,,Pb/0.938,Fe/0.062,,I/1,,,,,,,,2.29
MA/1,,,Pb/0.875,Fe/0.125,,I/1,,,,,,,,0.01
MA/1,,,Pb/0.75,Fe/0.25,,I/1,,,,,,,,0.22
MA/1,,,Pb/0.984,Mg/0.016,,I/1,,,,,,,,9.37
MA/1,,,Pb/0.969,Mg/0.031,,I/1,,,,,,,,9.71
MA/1,,,Pb/0.938,Mg/0.062,,I/1,,,,,,,,7.11
MA/1,,,Pb/0.875,Mg/0.125,,I/1,,,,,,,,1.74
MA/1,,,Pb/0.75,Mg/0.25,,I/1,,,,,,,,0.76
MA/1,,,Pb/0.984,Mn/0.016,,I/1,,,,,,,,10.38
MA/1,,,Pb/0.969,Mn/0.031,,I/1,,,,,,,,10.02
MA/1,,,Pb/0.938,Mn/0.062,,I/1,,,,,,,,7.17
MA/1,,,Pb/0.875,Mn/0.125,,I/1,,,,,,,,4.3
MA/1,,,Pb/0.75,Mn/0.25,,I/1,,,,,,,,0.68
