,"ABX3 (A=Cs,Ru,FA,MA,etc.; B=Pb,Sn,Ge,etc.; X=I,Br,Cl,BF4,PF6,SCN,etc.)",,,,,,,,,,,,,,,,,,,,
Formula,A_1,A_2,A_3,B_1,B_2,B_3,X_1,X_2,X_3,E_g,HTL,ETL,Voc(volts) ,Jsc,Max PCE,UV-Vis,Stability,Reference,A,B,X
MA0.9HA0.1PbI3,MA/0.9,HA/0.1,,Pb/1,,,I/1,,,,PCBM,PEDOT:PSS,0.927,16.9,11.6,,,Troshin2016_18378,MA/HA,Pb,I
MA0.8HA0.2PbI3,MA/0.8,HA/0.2,,Pb/1,,,I/1,,,,PCBM,PEDOT:PSS,,,10,,,,MA/HA,Pb,I
MA0.7HA0.3PbI3,MA/0.7,HA/0.3,,Pb/1,,,I/1,,,,PCBM,PEDOT:PSS,,,7.2,,,,MA/HA,Pb,I
MA0.6HA0.4PbI3,MA/0.6,HA/0.4,,Pb/1,,,I/1,,,,PCBM,PEDOT:PSS,,,5.5,,,,MA/HA,Pb,I
MA0.5HA0.5PbI3,MA/0.5,HA/0.5,,Pb/1,,,I/1,,,,PCBM,PEDOT:PSS,,,1.9,,,,MA/HA,Pb,I
FAPbI3,FA/1,,,Pb/1,,,I/1,,,,,,,,13.56,,,,FA,Pb,I
Rb0.05FA0.95PbI3,FA/0.95,Rb/0.05,,Pb/1,,,I/1,,,,,,1.07,23.93,17.16,,,Ko_2017_DOI: 10.1002/adfm.201605988,FA/Rb,Pb,I
Rb0.1FA0.9PbI3,FA/0.9,Rb/0.1,,Pb/1,,,I/1,,,,,,,,15.57,,,,FA/Rb,Pb,I
Rb0.15FA0.85PbI3,FA/0.85,Rb/0.15,,Pb/1,,,I/1,,,,,,,,13.3,,,,FA/Rb,Pb,I
Rb0.2FA0.8PbI3,FA/0.8,Rb/0.2,,Pb/1,,,I/1,,,,,,,,12.45,,,,FA/Rb,Pb,I
FA0.75MA0.25PbI3,FA/0.75,MA/0.25,,Pb/1,,,I/1,,,,,,1.03,21.1,15.51,,,Cui2016_14437,FA/MA,Pb,I
,FA/0.85,MA/0.15,,Pb/1,,,I/0.85,Br/0.15,,,Spiro-OMeTAD,mesoporous TiO2,,,8.8,,,,FA/MA,Pb,I/Br
,FA/1,,,Pb/1,,,I/1,,,,Spiro-OMeTAD,mesoporous TiO2,,,19.3,,,,FA,Pb,I
,FA/1,,,Pb/1,,,I/0.952,Br/0.048,,,Spiro-OMeTAD,mesoporous TiO2,1.16,24.6,20.8,,,Hagfeldt2016_1501170,FA,Pb,I/Br
,FA/1,,,Pb/1,,,I/0.909,Br/0.091,,,Spiro-OMeTAD,mesoporous TiO2,,,19.8,,,,FA,Pb,I/Br
,FA/1,,,Pb/1,,,I/0.862,Br/0.138,,,Spiro-OMeTAD,mesoporous TiO2,,,20,,,,FA,Pb,I/Br
,FA/1,,,Pb/1,,,I/0.813,Br/0.187,,,Spiro-OMeTAD,mesoporous TiO2,,,19.2,,,,FA,Pb,I/Br
,FA/1,,,Pb/1,,,I/0.729,Br/0.271,,,Spiro-OMeTAD,mesoporous TiO2,,,12.2,,,,FA,Pb,I/Br
,FA/1,,,Pb/1,,,I/0.649,Br/0.351,,,Spiro-OMeTAD,mesoporous TiO2,,,10.9,,,,FA,Pb,I/Br
,,MA/1,,Pb/1,,,I/1,,,,,,,,15.8,,,,MA,Pb,I
,Al/0.00075,MA/0.99775,,Pb/1,,,I/1,,,,,,,,16.4,,,,Al/MA,Pb,I
,Al/0.0015,MA/0.9955,,Pb/1,,,I/1,,,,,,1.09,22.3,18.2,,,Snaith2016_2892,Al/MA,Pb,I
,Al/0.003,MA/0.991,,Pb/1,,,I/1,,,,,,,,16.6,,,,Al/MA,Pb,I
,Al/0.0075,MA/0.9775,,Pb/1,,,I/1,,,,,,,,11.7,,,,Al/MA,Pb,I
,Al/0.015,MA/0.955,,Pb/1,,,I/1,,,,,,,,6.7,,,,Al/MA,Pb,I
